Player,Game Week,Position,Team,League,Minutes,Rating
Bernd Leno,J6,GK,Fulham,English Premier League,90,7.49
Mark Flekken,J6,GK,Brentford,English Premier League,90,5.22
Jordan Pickford,J6,GK,Everton,English Premier League,90,6.52
James Trafford,J6,GK,Burnley,English Premier League,90,6.39
André Onana,J6,GK,Manchester Utd,English Premier League,90,7.55
Robert Sánchez,J6,GK,Chelsea,English Premier League,90,7.14
Emiliano Martínez,J6,GK,Aston Villa,English Premier League,90,7.66
David Raya,J6,GK,Arsenal,English Premier League,90,6.59
Guglielmo Vicario,J6,GK,Tottenham,English Premier League,90,6.31
Alisson,J6,GK,Liverpool,English Premier League,90,6.82
Alphonse Areola,J6,GK,West Ham,English Premier League,90,6.16
Lorenzo Montipò,J11,GK,Hellas Verona,Italian Serie A,90,5.4
Michele Di Gregorio,J11,GK,Monza,Italian Serie A,90,6.82
Bart Verbruggen,J6,GK,Brighton,English Premier League,90,6.38
Neto,J6,GK,Bournemouth,English Premier League,90,5.53
Wes Foderingham,J6,GK,Sheffield Utd,English Premier League,90,5.28
Nick Pope,J6,GK,Newcastle Utd,English Premier League,90,7.17
Emiliano Martínez,J7,GK,Aston Villa,English Premier League,90,6.55
Jason Steele,J7,GK,Brighton,English Premier League,90,5.22
André Onana,J7,GK,Manchester Utd,English Premier League,90,6.04
Sam Johnstone,J7,GK,Crystal Palace,English Premier League,90,7.54
José Sá,J7,GK,Wolves,English Premier League,90,7.14
Ederson,J7,GK,Manchester City,English Premier League,90,5.38
Alphonse Areola,J7,GK,West Ham,English Premier League,90,7.45
Wes Foderingham,J7,GK,Sheffield Utd,English Premier League,90,6.49
Neto,J7,GK,Bournemouth,English Premier League,90,6.27
David Raya,J7,GK,Arsenal,English Premier League,90,7.43
Nick Pope,J7,GK,Newcastle Utd,English Premier League,90,7.11
James Trafford,J7,GK,Burnley,English Premier League,90,6.44
Jordan Pickford,J7,GK,Everton,English Premier League,90,5.88
Thomas Kaminski,J7,GK,Luton Town,English Premier League,90,7.07
Guglielmo Vicario,J7,GK,Tottenham,English Premier League,90,6.17
Alisson,J7,GK,Liverpool,English Premier League,90,6.6
Simone Scuffet,J11,GK,Cagliari,Italian Serie A,90,6.52
Josep Martinez,J11,GK,Genoa,Italian Serie A,90,5.73
Matt Turner,J7,GK,Nott'ham Forest,English Premier League,90,6.69
Mark Flekken,J7,GK,Brentford,English Premier League,90,5.81
Bernd Leno,J7,GK,Fulham,English Premier League,90,5.86
Robert Sánchez,J7,GK,Chelsea,English Premier League,90,7.74
Thomas Kaminski,J2,GK,Luton Town,English Premier League,90,6.13
James Trafford,J2,GK,Burnley,English Premier League,90,6.35
Thomas Kaminski,J8,GK,Luton Town,English Premier League,90,6.67
Guglielmo Vicario,J8,GK,Tottenham,English Premier League,90,7.19
James Trafford,J8,GK,Burnley,English Premier League,90,5.64
Robert Sánchez,J8,GK,Chelsea,English Premier League,90,6.13
André Onana,J8,GK,Manchester Utd,English Premier League,90,6.19
Thomas Strakosha,J8,GK,Brentford,English Premier League,90,6.21
Jordan Pickford,J8,GK,Everton,English Premier League,90,7.69
Neto,J8,GK,Bournemouth,English Premier League,90,5.49
Bernd Leno,J8,GK,Fulham,English Premier League,90,6.04
Wes Foderingham,J8,GK,Sheffield Utd,English Premier League,90,5.75
Sam Johnstone,J8,GK,Crystal Palace,English Premier League,90,7.69
Matt Turner,J8,GK,Nott'ham Forest,English Premier League,90,7.24
Alphonse Areola,J8,GK,West Ham,English Premier League,90,5.9
Nick Pope,J8,GK,Newcastle Utd,English Premier League,90,5.87
Rui Patrício,J11,GK,Roma,Italian Serie A,90,6.65
Wladimiro Falcone,J11,GK,Lecce,Italian Serie A,90,6.71
José Sá,J8,GK,Wolves,English Premier League,90,6.73
Emiliano Martínez,J8,GK,Aston Villa,English Premier League,90,6.89
Bart Verbruggen,J8,GK,Brighton,English Premier League,90,6.09
Alisson,J8,GK,Liverpool,English Premier League,90,5.68
David Raya,J8,GK,Arsenal,English Premier League,90,7.2
Ederson,J8,GK,Manchester City,English Premier League,90,6.18
Alisson,J9,GK,Liverpool,English Premier League,90,7.13
Jordan Pickford,J9,GK,Everton,English Premier League,90,6.43
Mark Flekken,J9,GK,Brentford,English Premier League,90,7.3
James Trafford,J9,GK,Burnley,English Premier League,90,6.27
Matt Turner,J9,GK,Nott'ham Forest,English Premier League,90,6.03
Thomas Kaminski,J9,GK,Luton Town,English Premier League,90,6.79
Neto,J9,GK,Bournemouth,English Premier League,90,6.22
José Sá,J9,GK,Wolves,English Premier League,90,6.65
Nick Pope,J9,GK,Newcastle Utd,English Premier League,90,7.46
Sam Johnstone,J9,GK,Crystal Palace,English Premier League,90,5.42
Stefan Ortega,J9,GK,Manchester City,English Premier League,90,6.65
Jason Steele,J9,GK,Brighton,English Premier League,90,5.63
Robert Sánchez,J9,GK,Chelsea,English Premier League,90,5.6
David Raya,J9,GK,Arsenal,English Premier League,90,6.28
Pietro Terracciano,J11,GK,Fiorentina,Italian Serie A,90,6.44
Wojciech Szczęsny,J11,GK,Juventus,Italian Serie A,90,7.64
Wes Foderingham,J9,GK,Sheffield Utd,English Premier League,90,6.68
André Onana,J9,GK,Manchester Utd,English Premier League,90,7.17
Emiliano Martínez,J9,GK,Aston Villa,English Premier League,90,6.63
Alphonse Areola,J9,GK,West Ham,English Premier League,90,5.32
Guglielmo Vicario,J9,GK,Tottenham,English Premier League,90,7.53
Bernd Leno,J9,GK,Fulham,English Premier League,90,5.85
Sam Johnstone,J10,GK,Crystal Palace,English Premier League,90,5.91
Guglielmo Vicario,J10,GK,Tottenham,English Premier League,90,6.05
Robert Sánchez,J10,GK,Chelsea,English Premier League,90,5.97
Mark Flekken,J10,GK,Brentford,English Premier League,90,7.51
David Raya,J10,GK,Arsenal,English Premier League,90,7.2
Wes Foderingham,J10,GK,Sheffield Utd,English Premier League,90,5.37
Ionuț Radu,J10,GK,Bournemouth,English Premier League,90,6.22
James Trafford,J10,GK,Burnley,English Premier League,90,6.11
José Sá,J10,GK,Wolves,English Premier League,90,6.15
Nick Pope,J10,GK,Newcastle Utd,English Premier League,90,5.72
Alphonse Areola,J10,GK,West Ham,English Premier League,90,6.31
Jordan Pickford,J10,GK,Everton,English Premier League,90,7.3
Jason Steele,J10,GK,Brighton,English Premier League,90,6.37
Bernd Leno,J10,GK,Fulham,English Premier League,90,6.74
Stefano Turati,J11,GK,Frosinone,Italian Serie A,90,6.54
Etrit Berisha,J11,GK,Empoli,Italian Serie A,90,5.95
Alisson,J10,GK,Liverpool,English Premier League,90,7.21
Matt Turner,J10,GK,Nott'ham Forest,English Premier League,90,6.0
Emiliano Martínez,J10,GK,Aston Villa,English Premier League,90,6.13
Thomas Kaminski,J10,GK,Luton Town,English Premier League,90,6.5
André Onana,J10,GK,Manchester Utd,English Premier League,90,6.38
Ederson,J10,GK,Manchester City,English Premier League,90,7.26
Bernd Leno,J11,GK,Fulham,English Premier League,90,6.7
André Onana,J11,GK,Manchester Utd,English Premier League,90,7.22
Mark Flekken,J11,GK,Brentford,English Premier League,45,5.04
Thomas Strakosha,J11,GK,Brentford,English Premier League,45,7.27
Alphonse Areola,J11,GK,West Ham,English Premier League,90,5.47
James Trafford,J11,GK,Burnley,English Premier League,90,5.85
Sam Johnstone,J11,GK,Crystal Palace,English Premier League,90,7.51
Ederson,J11,GK,Manchester City,English Premier League,90,5.91
Ionuț Radu,J11,GK,Bournemouth,English Premier League,90,5.11
Jordan Pickford,J11,GK,Everton,English Premier League,90,6.47
Bart Verbruggen,J11,GK,Brighton,English Premier League,90,6.13
Wes Foderingham,J11,GK,Sheffield Utd,English Premier League,90,6.84
José Sá,J11,GK,Wolves,English Premier League,90,5.81
Nick Pope,J11,GK,Newcastle Utd,English Premier League,90,7.02
David Raya,J11,GK,Arsenal,English Premier League,90,6.3
Michele Cerofolini,J2,GK,Frosinone,Italian Serie A,90,6.4
Juan Musso,J2,GK,Atalanta,Italian Serie A,90,5.75
Vanja Milinković-Savić,J11,GK,Torino,Italian Serie A,90,6.33
Andrea Consigli,J11,GK,Sassuolo,Italian Serie A,90,6.58
Odysseas Vlachodimos,J11,GK,Nott'ham Forest,English Premier League,90,7.67
Emiliano Martínez,J11,GK,Aston Villa,English Premier League,90,5.48
Thomas Kaminski,J11,GK,Luton Town,English Premier League,90,7.22
Alisson,J11,GK,Liverpool,English Premier League,90,6.54
Guglielmo Vicario,J11,GK,Tottenham,English Premier League,90,6.27
Robert Sánchez,J11,GK,Chelsea,English Premier League,90,6.24
José Sá,J12,GK,Wolves,English Premier League,90,6.75
Guglielmo Vicario,J12,GK,Tottenham,English Premier League,90,6.54
André Onana,J12,GK,Manchester Utd,English Premier League,90,7.45
Thomas Kaminski,J12,GK,Luton Town,English Premier League,90,6.84
Sam Johnstone,J12,GK,Crystal Palace,English Premier League,90,5.19
Jordan Pickford,J12,GK,Everton,English Premier League,90,6.2
David Raya,J12,GK,Arsenal,English Premier League,90,6.54
James Trafford,J12,GK,Burnley,English Premier League,90,6.04
Neto,J12,GK,Bournemouth,English Premier League,90,7.56
Nick Pope,J12,GK,Newcastle Utd,English Premier League,90,6.48
Emiliano Martínez,J12,GK,Aston Villa,English Premier League,90,6.77
Bernd Leno,J12,GK,Fulham,English Premier League,90,5.41
Jason Steele,J12,GK,Brighton,English Premier League,90,5.99
Wes Foderingham,J12,GK,Sheffield Utd,English Premier League,90,6.8
Andrea Consigli,J12,GK,Sassuolo,Italian Serie A,90,5.49
Guillermo Ochoa,J12,GK,Salernitana,Italian Serie A,90,6.11
Alisson,J12,GK,Liverpool,English Premier League,90,7.7
Mark Flekken,J12,GK,Brentford,English Premier League,90,6.07
Alphonse Areola,J12,GK,West Ham,English Premier League,90,6.1
Odysseas Vlachodimos,J12,GK,Nott'ham Forest,English Premier League,90,5.73
Robert Sánchez,J12,GK,Chelsea,English Premier League,90,5.71
Ederson,J12,GK,Manchester City,English Premier League,90,6.15
Ederson,J13,GK,Manchester City,English Premier League,90,6.46
Alisson,J13,GK,Liverpool,English Premier League,90,6.75
Wes Foderingham,J13,GK,Sheffield Utd,English Premier League,90,6.33
Neto,J13,GK,Bournemouth,English Premier League,90,6.35
Nick Pope,J13,GK,Newcastle Utd,English Premier League,90,6.54
Robert Sánchez,J13,GK,Chelsea,English Premier League,90,5.43
Thomas Kaminski,J13,GK,Luton Town,English Premier League,90,6.89
Sam Johnstone,J13,GK,Crystal Palace,English Premier League,90,5.95
James Trafford,J13,GK,Burnley,English Premier League,90,5.58
Alphonse Areola,J13,GK,West Ham,English Premier League,90,7.0
Odysseas Vlachodimos,J13,GK,Nott'ham Forest,English Premier League,90,5.52
Bart Verbruggen,J13,GK,Brighton,English Premier League,90,6.23
Mark Flekken,J13,GK,Brentford,English Premier League,90,6.92
Aaron Ramsdale,J13,GK,Arsenal,English Premier League,90,7.27
Josep Martinez,J12,GK,Genoa,Italian Serie A,90,7.51
Lorenzo Montipò,J12,GK,Hellas Verona,Italian Serie A,90,6.44
Guglielmo Vicario,J13,GK,Tottenham,English Premier League,90,5.98
Emiliano Martínez,J13,GK,Aston Villa,English Premier League,90,7.24
Jordan Pickford,J13,GK,Everton,English Premier League,90,5.63
André Onana,J13,GK,Manchester Utd,English Premier League,90,7.87
Bernd Leno,J13,GK,Fulham,English Premier League,90,5.98
José Sá,J13,GK,Wolves,English Premier League,90,6.08
David Raya,J14,GK,Arsenal,English Premier League,90,6.39
Daniel Bentley,J14,GK,Wolves,English Premier League,68,7.45
Mark Flekken,J14,GK,Brentford,English Premier League,90,5.81
Thomas Kaminski,J14,GK,Luton Town,English Premier League,90,6.02
James Trafford,J14,GK,Burnley,English Premier League,90,7.27
Wes Foderingham,J14,GK,Sheffield Utd,English Premier League,90,5.24
Odysseas Vlachodimos,J14,GK,Nott'ham Forest,English Premier League,90,6.01
Jordan Pickford,J14,GK,Everton,English Premier League,90,7.39
Nick Pope,J14,GK,Newcastle Utd,English Premier League,85,6.67
André Onana,J14,GK,Manchester Utd,English Premier League,90,6.99
Neto,J14,GK,Bournemouth,English Premier League,90,5.9
Emiliano Martínez,J14,GK,Aston Villa,English Premier League,90,6.84
Alphonse Areola,J14,GK,West Ham,English Premier League,90,6.04
Sam Johnstone,J14,GK,Crystal Palace,English Premier League,90,6.63
Wladimiro Falcone,J12,GK,Lecce,Italian Serie A,90,6.4
Mike Maignan,J12,GK,Milan,Italian Serie A,90,6.27
Caoimhín Kelleher,J14,GK,Liverpool,English Premier League,90,5.46
Bernd Leno,J14,GK,Fulham,English Premier League,90,5.49
Robert Sánchez,J14,GK,Chelsea,English Premier League,90,6.84
Jason Steele,J14,GK,Brighton,English Premier League,90,5.25
Ederson,J14,GK,Manchester City,English Premier League,90,5.55
Guglielmo Vicario,J14,GK,Tottenham,English Premier League,90,5.36
Daniel Bentley,J15,GK,Wolves,English Premier League,90,7.24
James Trafford,J15,GK,Burnley,English Premier League,90,6.54
Thomas Kaminski,J15,GK,Luton Town,English Premier League,90,5.92
David Raya,J15,GK,Arsenal,English Premier League,90,5.67
Wes Foderingham,J15,GK,Sheffield Utd,English Premier League,90,6.85
Caoimhín Kelleher,J15,GK,Liverpool,English Premier League,90,7.39
Jason Steele,J15,GK,Brighton,English Premier League,90,6.48
Mark Flekken,J15,GK,Brentford,English Premier League,90,6.56
Sam Johnstone,J15,GK,Crystal Palace,English Premier League,90,6.21
Neto,J15,GK,Bournemouth,English Premier League,90,7.54
Bernd Leno,J15,GK,Fulham,English Premier League,90,6.88
Odysseas Vlachodimos,J15,GK,Nott'ham Forest,English Premier League,90,5.14
Emiliano Martínez,J15,GK,Aston Villa,English Premier League,90,7.49
Ederson,J15,GK,Manchester City,English Premier League,90,6.77
Wojciech Szczęsny,J12,GK,Juventus,Italian Serie A,90,6.45
Simone Scuffet,J12,GK,Cagliari,Italian Serie A,90,6.49
André Onana,J15,GK,Manchester Utd,English Premier League,90,6.04
Robert Sánchez,J15,GK,Chelsea,English Premier League,90,6.92
Jordan Pickford,J15,GK,Everton,English Premier League,90,7.75
Martin Dúbravka,J15,GK,Newcastle Utd,English Premier League,90,5.62
Guglielmo Vicario,J15,GK,Tottenham,English Premier League,90,6.57
Łukasz Fabiański,J15,GK,West Ham,English Premier League,90,6.78
Sam Johnstone,J16,GK,Crystal Palace,English Premier League,86,5.74
Alisson,J16,GK,Liverpool,English Premier League,90,6.79
Wes Foderingham,J16,GK,Sheffield Utd,English Premier League,90,7.72
Mark Flekken,J16,GK,Brentford,English Premier League,90,6.66
Bart Verbruggen,J16,GK,Brighton,English Premier League,90,6.59
James Trafford,J16,GK,Burnley,English Premier League,90,7.17
José Sá,J16,GK,Wolves,English Premier League,90,6.01
Matt Turner,J16,GK,Nott'ham Forest,English Premier League,90,6.76
André Onana,J16,GK,Manchester Utd,English Premier League,90,5.68
Neto,J16,GK,Bournemouth,English Premier League,90,7.49
Emiliano Martínez,J16,GK,Aston Villa,English Premier League,90,7.85
David Raya,J16,GK,Arsenal,English Premier League,90,6.21
Thomas Kaminski,J16,GK,Luton Town,English Premier League,90,5.81
Ederson,J16,GK,Manchester City,English Premier League,90,6.37
Michele Di Gregorio,J12,GK,Monza,Italian Serie A,90,6.27
Vanja Milinković-Savić,J12,GK,Torino,Italian Serie A,90,6.69
Bernd Leno,J16,GK,Fulham,English Premier League,90,7.44
Łukasz Fabiański,J16,GK,West Ham,English Premier League,90,5.39
Jordan Pickford,J16,GK,Everton,English Premier League,90,7.82
Robert Sánchez,J16,GK,Chelsea,English Premier League,83,6.48
Guglielmo Vicario,J16,GK,Tottenham,English Premier League,90,6.45
Martin Dúbravka,J16,GK,Newcastle Utd,English Premier League,90,6.27
Matt Turner,J17,GK,Nott'ham Forest,English Premier League,90,6.11
Guglielmo Vicario,J17,GK,Tottenham,English Premier League,90,7.14
Đorđe Petrović,J17,GK,Chelsea,English Premier League,90,6.96
Wes Foderingham,J17,GK,Sheffield Utd,English Premier League,90,6.49
Martin Dúbravka,J17,GK,Newcastle Utd,English Premier League,90,7.39
Bernd Leno,J17,GK,Fulham,English Premier League,90,6.41
Ederson,J17,GK,Manchester City,English Premier League,90,5.85
Dean Henderson,J17,GK,Crystal Palace,English Premier League,90,6.67
James Trafford,J17,GK,Burnley,English Premier League,90,6.36
Jordan Pickford,J17,GK,Everton,English Premier League,90,7.3
Łukasz Fabiański,J17,GK,West Ham,English Premier League,90,7.66
Daniel Bentley,J17,GK,Wolves,English Premier League,90,5.17
David Raya,J17,GK,Arsenal,English Premier League,90,7.17
Bart Verbruggen,J17,GK,Brighton,English Premier League,90,5.77
Pierluigi Gollini,J12,GK,Napoli,Italian Serie A,90,6.32
Etrit Berisha,J12,GK,Empoli,Italian Serie A,90,7.73
Mark Flekken,J17,GK,Brentford,English Premier League,90,5.85
Emiliano Martínez,J17,GK,Aston Villa,English Premier League,90,6.65
Alisson,J17,GK,Liverpool,English Premier League,90,6.88
André Onana,J17,GK,Manchester Utd,English Premier League,90,7.88
Dean Henderson,J18,GK,Crystal Palace,English Premier League,90,6.83
Bart Verbruggen,J18,GK,Brighton,English Premier League,90,6.46
Emiliano Martínez,J18,GK,Aston Villa,English Premier League,90,6.09
Wes Foderingham,J18,GK,Sheffield Utd,English Premier League,90,6.39
Alphonse Areola,J18,GK,West Ham,English Premier League,90,7.65
André Onana,J18,GK,Manchester Utd,English Premier League,90,6.16
Bernd Leno,J18,GK,Fulham,English Premier League,90,5.57
James Trafford,J18,GK,Burnley,English Premier League,90,7.66
Matt Turner,J18,GK,Nott'ham Forest,English Premier League,90,5.84
Neto,J18,GK,Bournemouth,English Premier League,90,5.73
Thomas Kaminski,J18,GK,Luton Town,English Premier League,90,7.32
Martin Dúbravka,J18,GK,Newcastle Utd,English Premier League,90,7.02
Guglielmo Vicario,J18,GK,Tottenham,English Premier League,90,7.13
Jordan Pickford,J18,GK,Everton,English Premier League,90,6.22
Alisson,J18,GK,Liverpool,English Premier League,90,5.96
David Raya,J18,GK,Arsenal,English Premier League,90,6.36
Pietro Terracciano,J12,GK,Fiorentina,Italian Serie A,90,6.78
Łukasz Skorupski,J12,GK,Bologna,Italian Serie A,90,5.78
José Sá,J18,GK,Wolves,English Premier League,90,6.86
Đorđe Petrović,J18,GK,Chelsea,English Premier League,90,5.96
Martin Dúbravka,J19,GK,Newcastle Utd,English Premier League,90,5.86
Matt Turner,J19,GK,Nott'ham Forest,English Premier League,90,7.0
Neto,J19,GK,Bournemouth,English Premier League,90,7.55
Bernd Leno,J19,GK,Fulham,English Premier League,90,5.48
Wes Foderingham,J19,GK,Sheffield Utd,English Premier League,90,5.83
Thomas Kaminski,J19,GK,Luton Town,English Premier League,90,6.7
James Trafford,J19,GK,Burnley,English Premier League,90,7.02
Alisson,J19,GK,Liverpool,English Premier League,90,7.13
André Onana,J19,GK,Manchester Utd,English Premier League,90,5.99
Emiliano Martínez,J19,GK,Aston Villa,English Premier League,90,5.79
Mark Flekken,J19,GK,Brentford,English Premier League,90,5.18
José Sá,J19,GK,Wolves,English Premier League,90,6.99
Đorđe Petrović,J19,GK,Chelsea,English Premier League,90,6.69
Dean Henderson,J19,GK,Crystal Palace,English Premier League,90,5.91
Jordan Pickford,J19,GK,Everton,English Premier League,90,5.77
Ederson,J19,GK,Manchester City,English Premier League,90,6.21
Jason Steele,J19,GK,Brighton,English Premier League,90,6.52
Guglielmo Vicario,J19,GK,Tottenham,English Premier League,90,6.09
Marco Silvestri,J12,GK,Udinese,Italian Serie A,90,6.65
Marco Carnesecchi,J12,GK,Atalanta,Italian Serie A,90,6.22
David Raya,J19,GK,Arsenal,English Premier League,90,6.24
Alphonse Areola,J19,GK,West Ham,English Premier League,90,7.8
Thomas Kaminski,J20,GK,Luton Town,English Premier League,90,6.07
Đorđe Petrović,J20,GK,Chelsea,English Premier League,90,6.79
Dean Henderson,J20,GK,Crystal Palace,English Premier League,90,6.76
Mark Flekken,J20,GK,Brentford,English Premier League,90,5.69
José Sá,J20,GK,Wolves,English Premier League,90,6.77
Jordan Pickford,J20,GK,Everton,English Premier League,90,5.77
Ederson,J20,GK,Manchester City,English Premier League,90,7.26
Wes Foderingham,J20,GK,Sheffield Utd,English Premier League,90,6.23
Emiliano Martínez,J20,GK,Aston Villa,English Premier League,90,5.78
James Trafford,J20,GK,Burnley,English Premier League,90,5.86
Matt Turner,J20,GK,Nott'ham Forest,English Premier League,90,6.65
André Onana,J20,GK,Manchester Utd,English Premier League,90,5.53
Bernd Leno,J20,GK,Fulham,English Premier League,90,6.57
David Raya,J20,GK,Arsenal,English Premier League,90,5.64
Guglielmo Vicario,J20,GK,Tottenham,English Premier League,90,6.35
Neto,J20,GK,Bournemouth,English Premier League,90,5.63
Alisson,J20,GK,Liverpool,English Premier League,90,5.85
Martin Dúbravka,J20,GK,Newcastle Utd,English Premier League,90,6.38
Ivan Provedel,J12,GK,Lazio,Italian Serie A,90,6.96
Rui Patrício,J12,GK,Roma,Italian Serie A,90,7.59
Alphonse Areola,J20,GK,West Ham,English Premier League,90,7.67
Jason Steele,J20,GK,Brighton,English Premier League,90,7.38
