Player,Team,League,Position,General Position,Nationality,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Anton Ari Einarsson,Breiðablik,UEFA Europa Conference League,GK,Goalkeeper,ISL,31,540,33.0,11.0,22.0,8.2,-2.8,1,18.0,45.0,215.0,39.0,6144.9,15.0,565.3,93.0,2.0,5.0,82.9
Antonio Sivera,Alavés,Spanish La Liga,GK,Goalkeeper,ESP,29,1710,71.0,24.0,47.0,24.2,0.2,3,136.0,355.0,394.0,62.0,16866.1,150.0,8843.1,246.0,12.0,12.0,217.4
Antonis Tsiftsis,PAOK,UEFA Europa League,GK,Goalkeeper,GRE,26,180,12.0,3.0,9.0,3.7,0.7,1,5.0,22.0,39.0,8.0,1443.0,12.0,611.2,32.0,1.0,1.0,21.7
Arijanet Muric,Sassuolo,Italian Serie A,GK,Goalkeeper,KVX,27,1710,97.0,25.0,74.0,27.1,2.1,4,110.0,310.0,568.0,101.0,19780.6,121.0,6156.1,296.0,45.0,15.0,217.6
Arnau Tenas,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,ESP,24,360,16.0,8.0,8.0,4.8,-3.2,0,14.0,69.0,94.0,7.0,3470.4,34.0,2002.7,66.0,3.0,5.0,78.4
Arnaud Bodart,Lille,French Ligue 1,GK,Goalkeeper,BEL,27,180,6.0,3.0,3.0,4.1,1.1,0,10.0,22.0,70.0,9.0,2137.8,7.0,234.0,12.0,1.0,4.0,87.0
Augusto Batalla,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",GK,Goalkeeper,ARG,29,2250,89.0,29.0,60.0,29.2,0.2,8,148.0,391.0,823.0,95.0,31517.5,95.0,4372.1,317.0,16.0,30.0,599.5
Baboucarr Gaye,Shkëndija 79,UEFA Europa Conference League,GK,Goalkeeper,GAM,27,630,21.0,5.0,16.0,5.2,0.2,3,33.0,107.0,162.0,22.0,6026.3,58.0,2655.7,114.0,3.0,1.0,14.6
Bart Verbruggen,Brighton,English Premier League,GK,Goalkeeper,NED,23,1890,85.0,28.0,59.0,28.9,0.9,5,57.0,217.0,864.0,92.0,24681.1,59.0,2552.4,264.0,13.0,26.0,429.8
Bartosz Mrozek,Lech Poznań,UEFA Europa Conference League,GK,Goalkeeper,POL,25,540,23.0,8.0,15.0,6.4,-1.6,1,15.0,43.0,155.0,27.0,3896.0,39.0,1442.0,113.0,0.0,6.0,119.2
Bartłomiej Drągowski,Panathinaikos,UEFA Europa League,GK,Goalkeeper,POL,28,180,10.0,4.0,6.0,4.0,0.0,0,11.0,34.0,65.0,11.0,2645.5,8.0,446.9,22.0,1.0,0.0,0.0
Berke Özer,Lille,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,TUR,25,1890,79.0,26.0,50.0,32.8,6.8,7,81.0,229.0,720.0,60.0,21283.7,78.0,3110.0,274.0,9.0,25.0,424.2
Bernd Leno,Fulham,English Premier League,GK,Goalkeeper,GER,33,1890,81.0,30.0,53.0,26.7,-3.3,5,67.0,247.0,731.0,91.0,21651.6,118.0,5155.6,293.0,14.0,14.0,219.4
Bingourou Kamara,Lorient,French Ligue 1,GK,Goalkeeper,SEN,28,270,15.0,8.0,7.0,4.8,-3.2,1,12.0,22.0,65.0,7.0,1948.9,9.0,279.3,27.0,2.0,5.0,111.0
Brice Samba,Rennes,French Ligue 1,GK,Goalkeeper,FRA,31,1530,73.0,24.0,48.0,23.8,-0.2,5,61.0,197.0,609.0,71.0,19061.6,100.0,3080.5,251.0,11.0,25.0,551.8
Caoimhín Kelleher,Brentford,English Premier League,GK,Goalkeeper,IRL,27,1890,84.0,28.0,55.0,25.7,-2.3,5,127.0,344.0,702.0,100.0,23910.6,100.0,5706.8,322.0,18.0,23.0,394.3
Christian Zawieschitzky,RB Salzburg,UEFA Europa League,GK,Goalkeeper,AUT,18,90,2.0,0.0,2.0,0.2,0.2,1,3.0,11.0,32.0,2.0,979.2,3.0,41.1,19.0,0.0,0.0,0.0
Dani van den Heuvel,Club Brugge,UEFA Champions League,GK,Goalkeeper,NED,22,90,10.0,3.0,7.0,3.5,0.5,0,6.0,10.0,31.0,5.0,985.8,5.0,197.0,19.0,1.0,0.0,0.0
Daniel Batz,Mainz 05,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,GER,34,540,30.0,6.0,25.0,12.1,6.1,2,34.0,107.0,176.0,16.0,6432.0,28.0,1555.8,86.0,5.0,6.0,123.2
Daniel Heuer Fernandes,Hamburger SV,German Bundesliga,GK,Goalkeeper,POR,33,1440,78.0,27.0,50.0,25.7,-1.3,3,86.0,253.0,773.0,42.0,22930.0,79.0,3359.7,220.0,8.0,21.0,374.4
Daniele Padelli,Udinese,Italian Serie A,GK,Goalkeeper,ITA,40,180,4.0,2.0,3.0,1.4,-0.6,0,3.0,22.0,63.0,8.0,1863.4,8.0,395.2,28.0,0.0,3.0,58.8
Daniele Sommariva,Genoa,Italian Serie A,GK,Goalkeeper,ITA,28,176,12.0,4.0,8.0,3.6,-0.4,0,23.0,60.0,77.0,1.0,3267.2,14.0,793.3,36.0,0.0,2.0,31.2
David Raya,Arsenal,"English Premier League, UEFA Champions League",GK,Goalkeeper,ESP,30,2430,62.0,15.0,47.0,14.7,-0.3,15,130.0,394.0,881.0,130.0,30076.2,98.0,4953.0,257.0,26.0,47.0,1042.5
David Soria,Getafe,Spanish La Liga,GK,Goalkeeper,ESP,32,1710,85.0,25.0,62.0,21.9,-3.1,4,175.0,473.0,458.0,28.0,22828.9,129.0,7732.4,216.0,5.0,29.0,625.8
David de Gea,Fiorentina,"Italian Serie A, UEFA Europa Conference League",GK,Goalkeeper,ESP,35,2160,106.0,33.0,72.0,31.4,-1.6,5,103.0,300.0,658.0,90.0,22203.8,129.0,5157.5,318.0,9.0,20.0,371.8
Dean Henderson,Crystal Palace,"English Premier League, UEFA Europa Conference League",GK,Goalkeeper,ENG,28,2250,92.0,27.0,65.0,30.0,3.0,9,114.0,427.0,651.0,99.0,25292.1,172.0,8663.6,348.0,12.0,20.0,375.2
Diant Ramaj,Heidenheim,German Bundesliga,GK,Goalkeeper,GER,24,1440,89.0,36.0,53.0,35.6,-0.4,0,137.0,361.0,748.0,72.0,28958.4,109.0,5524.8,246.0,22.0,24.0,360.8
Dimitar Mitov,Aberdeen,UEFA Europa Conference League,GK,Goalkeeper,BUL,28,540,30.0,14.0,15.0,11.2,-2.8,1,26.0,105.0,163.0,23.0,6244.9,28.0,1601.6,87.0,7.0,3.0,44.8
Diogo Costa,Porto,UEFA Europa League,GK,Goalkeeper,POR,26,540,13.0,5.0,9.0,3.1,-1.9,2,21.0,51.0,204.0,32.0,5379.3,25.0,791.5,50.0,2.0,10.0,175.9
Dmytro Riznyk,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,UKR,26,180,5.0,2.0,3.0,2.0,0.0,1,3.0,13.0,55.0,4.0,1540.6,6.0,124.2,19.0,3.0,5.0,105.0
Dominik Greif,Lyon,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,SVK,28,1530,60.0,16.0,42.0,18.2,2.2,9,54.0,146.0,597.0,62.0,16116.1,50.0,1997.3,196.0,13.0,30.0,542.6
Dominik Kotarski,FC Copenhagen,UEFA Champions League,GK,Goalkeeper,CRO,25,540,30.0,16.0,15.0,11.4,-4.6,0,33.0,86.0,150.0,18.0,5476.4,36.0,1777.3,67.0,0.0,10.0,175.1
Dominik Takáč,Slovan Bratislava,UEFA Europa Conference League,GK,Goalkeeper,SVK,26,450,31.0,9.0,23.0,8.5,-0.5,0,19.0,61.0,132.0,19.0,4383.3,34.0,1154.9,68.0,2.0,8.0,150.8
Donovan Léon,Auxerre,French Ligue 1,GK,Goalkeeper,GUF,33,1304,67.0,23.0,45.0,21.7,-1.3,3,78.0,243.0,375.0,58.0,15212.0,82.0,4643.5,167.0,6.0,16.0,293.5
Dávid Gróf,Ferencváros,UEFA Europa League,GK,Goalkeeper,HUN,36,90,2.0,1.0,1.0,1.4,0.4,0,5.0,9.0,25.0,2.0,802.5,1.0,66.0,9.0,0.0,0.0,0.0
Dénes Dibusz,Ferencváros,UEFA Europa League,GK,Goalkeeper,HUN,35,450,18.0,5.0,13.0,3.6,-1.4,1,38.0,84.0,124.0,17.0,4569.7,34.0,1739.1,90.0,3.0,3.0,43.6
Ed McGinty,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,GK,Goalkeeper,IRL,26,540,33.0,13.0,20.0,13.0,0.0,0,25.0,84.0,103.0,16.0,4177.3,51.0,2425.0,83.0,2.0,2.0,31.0
Ederson,Fenerbahçe,UEFA Europa League,GK,Goalkeeper,BRA,32,540,17.0,5.0,12.0,5.0,0.0,3,36.0,94.0,206.0,22.0,7284.3,38.0,1660.1,80.0,7.0,10.0,234.1
Edoardo Corvi,Parma,Italian Serie A,GK,Goalkeeper,ITA,24,720,29.0,8.0,21.0,8.6,0.6,2,32.0,92.0,252.0,50.0,7591.0,50.0,1844.8,174.0,8.0,12.0,199.9
Elia Caprile,Cagliari,Italian Serie A,GK,Goalkeeper,ITA,24,1800,104.0,30.0,74.0,33.1,3.1,3,94.0,264.0,533.0,89.0,19096.4,117.0,4433.8,269.0,30.0,20.0,382.7
Elías Rafn Ólafsson,Midtjylland,UEFA Europa League,GK,Goalkeeper,ISL,25,540,29.0,5.0,24.0,6.3,1.3,3,32.0,87.0,214.0,48.0,7057.7,35.0,1495.8,87.0,7.0,8.0,143.0
Emil Audero,Cremonese,Italian Serie A,GK,Goalkeeper,IDN,28,1440,88.0,21.0,67.0,21.0,0.0,5,84.0,329.0,652.0,89.0,22994.6,96.0,4912.3,266.0,23.0,10.0,140.8
Emiliano Martínez,Aston Villa,"English Premier League, UEFA Europa League",GK,Goalkeeper,ARG,33,1755,71.0,19.0,51.0,20.1,1.0,5,91.0,248.0,753.0,76.0,22865.1,62.0,2812.9,244.0,26.0,15.0,280.1
Etrit Berisha,Häcken,UEFA Europa Conference League,GK,Goalkeeper,ALB,36,450,20.0,7.0,14.0,6.3,-0.7,1,21.0,54.0,160.0,23.0,4697.3,17.0,862.4,43.0,4.0,10.0,191.8
Fabiano,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,CYP,37,180,8.0,2.0,6.0,1.9,-0.1,0,4.0,15.0,38.0,10.0,1285.6,6.0,137.2,19.0,0.0,0.0,0.0
Faton Maloku,KF Drita,UEFA Europa Conference League,GK,Goalkeeper,KVX,34,450,21.0,5.0,16.0,5.1,0.1,2,16.0,52.0,116.0,28.0,3742.4,48.0,1577.2,79.0,6.0,3.0,42.9
Federico Ravaglia,Bologna,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,ITA,26,990,51.0,14.0,37.0,17.3,3.3,2,53.0,173.0,478.0,54.0,15299.9,64.0,2903.3,128.0,3.0,22.0,443.9
Filip Jørgensen,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,DEN,23,263,7.0,4.0,3.0,3.5,-0.5,0,11.0,25.0,98.0,9.0,2633.8,9.0,366.0,34.0,0.0,6.0,112.9
Finn Dahmen,Augsburg,German Bundesliga,GK,Goalkeeper,GER,27,1440,71.0,32.0,39.0,26.9,-5.1,3,92.0,295.0,605.0,51.0,20958.0,106.0,5536.9,205.0,11.0,37.0,705.5
Florian Wiegele,Viktoria Plzeň,UEFA Europa League,GK,Goalkeeper,AUT,24,180,10.0,0.0,10.0,2.4,2.4,2,16.0,36.0,65.0,5.0,2349.8,9.0,518.4,28.0,1.0,2.0,33.0
Francis Uzoho,AC Omonia,UEFA Europa Conference League,GK,Goalkeeper,NGA,27,360,18.0,2.0,15.0,5.4,3.4,2,13.0,49.0,91.0,21.0,3027.7,16.0,804.2,71.0,3.0,1.0,13.7
Franco Israel,Torino,Italian Serie A,GK,Goalkeeper,URU,25,810,41.0,18.0,23.0,12.8,-5.2,3,58.0,168.0,273.0,33.0,10659.9,50.0,2531.3,121.0,7.0,5.0,110.4
Frederik Rønnow,Union Berlin,German Bundesliga,GK,Goalkeeper,DEN,33,1440,71.0,25.0,45.0,24.6,-0.4,4,98.0,322.0,444.0,68.0,17123.7,110.0,6307.6,235.0,21.0,12.0,221.7
Gabriel Kobylak,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,POL,23,90,2.0,1.0,1.0,0.4,-0.6,0,0.0,4.0,19.0,3.0,528.2,0.0,0.0,6.0,2.0,1.0,13.8
Gerónimo Rulli,Marseille,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,ARG,33,1800,98.0,22.0,77.0,26.2,4.2,6,71.0,192.0,673.0,98.0,19072.8,73.0,2828.0,210.0,35.0,56.0,1148.8
Gianluigi Donnarumma,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,ITA,26,2070,63.0,19.0,43.0,20.3,1.3,10,54.0,159.0,582.0,75.0,16376.1,63.0,2464.1,249.0,11.0,18.0,343.5
Giorgi Mamardashvili,Liverpool,"English Premier League, UEFA Champions League",GK,Goalkeeper,GEO,25,755,36.0,15.0,20.0,11.0,-4.0,3,29.0,89.0,260.0,40.0,7957.5,36.0,1442.1,79.0,2.0,13.0,316.8
Goran Karaćić,Zrinjski Mostar,UEFA Europa Conference League,GK,Goalkeeper,BIH,29,360,8.0,3.0,5.0,3.0,0.0,1,20.0,56.0,109.0,21.0,3702.7,27.0,1383.8,55.0,2.0,3.0,66.0
Gregor Kobel,Dortmund,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,SUI,28,1980,82.0,28.0,55.0,26.9,-1.1,9,69.0,224.0,662.0,84.0,21088.7,81.0,2938.9,269.0,7.0,26.0,499.9
Grégoire Coudert,Brest,French Ligue 1,GK,Goalkeeper,FRA,26,662,32.0,12.0,21.0,11.8,-0.2,2,46.0,140.0,212.0,30.0,8255.6,50.0,2849.4,119.0,8.0,9.0,141.7
Guglielmo Vicario,Tottenham,"English Premier League, UEFA Champions League",GK,Goalkeeper,ITA,29,2430,109.0,34.0,75.0,35.0,1.0,11,124.0,394.0,970.0,119.0,32004.2,120.0,5198.6,357.0,21.0,50.0,928.4
Guillaume Restes,Toulouse,French Ligue 1,GK,Goalkeeper,FRA,20,1530,55.0,22.0,33.0,20.6,-1.4,6,80.0,212.0,415.0,53.0,14080.1,74.0,3390.6,244.0,17.0,16.0,284.3
Günay Güvenç,Galatasaray,UEFA Champions League,GK,Goalkeeper,TUR,34,23,1.0,1.0,0.0,0.9,-0.1,0,0.0,0.0,9.0,1.0,188.1,3.0,77.1,3.0,0.0,1.0,34.0
Hendrik Bonmann,Ludogorets,UEFA Europa League,GK,Goalkeeper,GER,31,270,21.0,8.0,13.0,8.9,0.9,0,18.0,57.0,126.0,14.0,4196.6,21.0,1055.3,50.0,6.0,2.0,27.6
Hendrik Van Crombrugge,Genk,UEFA Europa League,GK,Goalkeeper,BEL,32,540,26.0,6.0,19.0,8.6,2.6,2,33.0,86.0,206.0,15.0,6748.3,22.0,887.4,89.0,3.0,1.0,15.4
Henry Bonello,Ħamrun Spartans FC,UEFA Europa Conference League,GK,Goalkeeper,MLT,37,540,45.0,11.0,34.0,12.5,1.5,0,27.0,66.0,162.0,23.0,5548.3,35.0,1308.3,60.0,3.0,6.0,114.1
Hervé Koffi,Angers,French Ligue 1,GK,Goalkeeper,BFA,29,1350,78.0,16.0,60.0,23.0,7.0,5,50.0,171.0,426.0,77.0,13896.3,92.0,3341.7,231.0,28.0,10.0,135.9
Ionuț Radu,Celta Vigo,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,ROU,28,2070,97.0,26.0,70.0,27.2,1.2,5,57.0,221.0,488.0,121.0,15624.7,173.0,6976.5,330.0,15.0,13.0,218.7
Ivan Filipović,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,CRO,31,180,14.0,7.0,8.0,4.8,-2.2,0,3.0,15.0,74.0,15.0,1800.1,11.0,391.0,21.0,2.0,3.0,45.1
Ivan Nevistić,Dinamo Zagreb,UEFA Europa League,GK,Goalkeeper,CRO,27,360,12.0,6.0,7.0,3.2,-2.8,0,18.0,53.0,178.0,13.0,4745.8,16.0,641.3,47.0,3.0,8.0,150.1
Ivan Provedel,Lazio,Italian Serie A,GK,Goalkeeper,ITA,31,1800,84.0,16.0,68.0,22.8,6.8,10,84.0,232.0,619.0,81.0,20518.0,103.0,4074.1,263.0,14.0,17.0,351.9
Iván Villar,Celta Vigo,UEFA Europa League,GK,Goalkeeper,ESP,28,180,9.0,3.0,6.0,2.6,-0.4,1,2.0,11.0,47.0,10.0,1142.3,7.0,343.0,24.0,0.0,2.0,40.6
Iñaki Peña,Elche,Spanish La Liga,GK,Goalkeeper,ESP,26,1080,60.0,17.0,43.0,20.2,3.2,4,49.0,175.0,655.0,50.0,18211.1,50.0,1724.1,156.0,5.0,27.0,508.4
Jack Butland,Rangers,UEFA Europa League,GK,Goalkeeper,ENG,32,540,28.0,11.0,16.0,10.9,-0.1,0,40.0,90.0,180.0,29.0,6606.2,21.0,1090.1,66.0,6.0,10.0,206.3
Jakub Markovič,Slavia Prague,UEFA Champions League,GK,Goalkeeper,CZE,24,180,13.0,3.0,10.0,4.7,1.7,1,19.0,42.0,50.0,3.0,2084.2,16.0,828.1,20.0,1.0,4.0,62.2
James Trafford,Manchester City,"English Premier League, UEFA Champions League",GK,Goalkeeper,ENG,23,360,17.0,6.0,11.0,7.1,1.1,1,10.0,38.0,122.0,13.0,3500.6,15.0,674.7,33.0,2.0,17.0,363.9
Jan Koutny,Sigma Olomouc,UEFA Europa Conference League,GK,Goalkeeper,CZE,21,540,23.0,9.0,14.0,8.4,-0.6,0,26.0,85.0,117.0,14.0,4676.9,38.0,1974.5,59.0,2.0,10.0,179.0
Jan Oblak,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,SVN,32,2070,78.0,28.0,50.0,27.8,-0.2,6,141.0,304.0,606.0,92.0,19923.9,172.0,8296.5,304.0,19.0,21.0,397.1
Jari De Busser,Go Ahead Eag,UEFA Europa League,GK,Goalkeeper,BEL,26,540,44.0,11.0,33.0,13.5,2.5,0,23.0,85.0,221.0,20.0,7130.1,35.0,1903.3,104.0,4.0,3.0,63.5
Jaylan Hankins,Red Imps,UEFA Europa Conference League,GK,Goalkeeper,GIB,25,450,33.0,10.0,23.0,7.9,-2.1,0,34.0,110.0,132.0,20.0,5782.6,49.0,2477.2,104.0,4.0,2.0,24.3
Jean Butez,Como,Italian Serie A,GK,Goalkeeper,FRA,30,1710,66.0,13.0,52.0,17.7,4.7,9,88.0,203.0,725.0,93.0,21749.8,57.0,2186.2,186.0,18.0,55.0,1152.7
Jeffrey De Lange,Marseille,French Ligue 1,GK,Goalkeeper,NED,27,270,11.0,3.0,8.0,3.2,0.2,1,4.0,15.0,82.0,7.0,1904.2,7.0,256.0,33.0,0.0,2.0,35.5
Jindřich Staněk,Slavia Prague,UEFA Champions League,GK,Goalkeeper,CZE,29,360,28.0,8.0,20.0,10.4,2.4,1,25.0,69.0,134.0,19.0,4758.4,24.0,1232.4,47.0,4.0,2.0,28.8
Jiří Pavlenka,PAOK,UEFA Europa League,GK,Goalkeeper,CZE,33,360,19.0,7.0,11.0,8.1,1.1,1,10.0,33.0,107.0,12.0,3726.9,13.0,494.9,46.0,1.0,11.0,242.3
Joan García,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,ESP,24,1440,57.0,14.0,44.0,18.6,4.6,7,27.0,71.0,489.0,109.0,12497.8,47.0,1451.4,151.0,11.0,67.0,1513.0
Johannes Kreidl,KuPS,UEFA Europa Conference League,GK,Goalkeeper,AUT,29,540,25.0,5.0,20.0,8.2,3.2,2,54.0,130.0,322.0,22.0,10767.0,33.0,1487.0,105.0,6.0,7.0,130.4
John,Nott'ham Forest,"English Premier League, UEFA Europa League",GK,Goalkeeper,BRA,29,707,20.0,9.0,11.0,6.7,-2.3,3,34.0,91.0,171.0,10.0,5992.7,33.0,1547.4,62.0,1.0,10.0,205.1
Jonas Urbig,Bayern Munich,German Bundesliga,GK,Goalkeeper,GER,22,270,2.0,0.0,2.0,0.2,0.2,3,16.0,32.0,118.0,16.0,3286.0,11.0,439.3,23.0,3.0,11.0,240.2
Jonathan Fischer,Metz,French Ligue 1,GK,Goalkeeper,DEN,24,1454,92.0,34.0,58.0,33.4,-0.6,3,56.0,149.0,598.0,68.0,15970.0,82.0,3409.8,216.0,7.0,16.0,319.6
Jordan Pickford,Everton,English Premier League,GK,Goalkeeper,ENG,31,1890,82.0,25.0,56.0,28.1,3.1,8,170.0,463.0,739.0,78.0,29422.0,116.0,6311.2,309.0,9.0,43.0,854.9
Josep Martinez,Inter,Italian Serie A,GK,Goalkeeper,ESP,27,180,5.0,1.0,4.0,1.4,0.4,1,6.0,21.0,61.0,7.0,1672.4,9.0,433.8,21.0,0.0,4.0,84.8
José Luis García Vayá,Valencia,Spanish La Liga,GK,Goalkeeper,ESP,27,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José Sá,Wolves,English Premier League,GK,Goalkeeper,POR,32,810,34.0,17.0,17.0,12.0,-5.0,1,58.0,163.0,237.0,32.0,9051.3,64.0,3708.2,138.0,12.0,6.0,101.8
João Virgínia,Sporting CP,UEFA Champions League,GK,Goalkeeper,POR,25,90,4.0,1.0,3.0,0.8,-0.2,0,1.0,6.0,22.0,7.0,695.2,5.0,190.0,7.0,1.0,1.0,16.5
Juan Musso,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,ARG,31,180,7.0,1.0,6.0,1.0,0.0,1,4.0,14.0,46.0,9.0,1219.0,16.0,695.2,36.0,2.0,0.0,0.0
Julen Agirrezabala,Valencia,Spanish La Liga,GK,Goalkeeper,ESP,25,1619,81.0,30.0,51.0,24.7,-5.3,4,67.0,203.0,469.0,73.0,15118.1,99.0,4525.6,217.0,21.0,43.0,943.0
Kacper Tobiasz,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,POL,23,450,16.0,7.0,9.0,3.8,-3.2,0,29.0,82.0,148.0,17.0,5605.5,30.0,1343.8,66.0,1.0,7.0,133.7
Kacper Trelowski,Raków,UEFA Europa Conference League,GK,Goalkeeper,POL,22,180,1.0,1.0,0.0,0.1,-0.9,1,10.0,21.0,56.0,4.0,1587.9,11.0,577.6,18.0,1.0,4.0,79.4
Kamil Grabara,Wolfsburg,German Bundesliga,GK,Goalkeeper,POL,27,1440,84.0,36.0,50.0,33.4,-2.6,1,69.0,251.0,597.0,76.0,19394.0,89.0,5068.9,342.0,15.0,16.0,235.3
Karl Darlow,Leeds United,English Premier League,GK,Goalkeeper,WAL,35,450,20.0,8.0,13.0,5.1,-2.9,0,30.0,101.0,181.0,27.0,6848.4,26.0,1486.5,82.0,5.0,4.0,53.9
Karl Jakob Hein,Werder Bremen,German Bundesliga,GK,Goalkeeper,EST,23,180,15.0,4.0,11.0,4.7,0.7,1,15.0,36.0,111.0,11.0,3301.8,10.0,587.0,28.0,2.0,6.0,111.3
Karl-Johan Johnsson,Strasbourg,French Ligue 1,GK,Goalkeeper,SWE,35,90,2.0,0.0,2.0,0.3,0.3,1,3.0,10.0,32.0,2.0,947.2,2.0,91.0,13.0,1.0,3.0,56.7
Karlo Letica,Lausanne-Sport,UEFA Europa Conference League,GK,Goalkeeper,CRO,28,540,14.0,3.0,11.0,5.0,2.0,4,28.0,76.0,124.0,30.0,4551.8,42.0,1922.6,89.0,5.0,1.0,13.8
